지역,기관명,역할,연락처,,"<사용자가 지역 입력하면, 전국/중앙 기관 정보 + 지역별 정보 노출>"
경기,고양시아동보호전문기관,아동학대·방임 상담 및 보호 연계,031-966-1391,,
경기,부천시아동보호전문기관,아동학대·방임 상담 및 보호 연계,032-662-2580,,
경기,경기남양주아동보호전문기관,아동학대·방임 상담 및 보호 연계,본원 031-592-9818 / 분원 031-553-9818,,
경기,안산시아동보호전문기관,아동학대·방임 상담 및 보호 연계,031-402-0442,,
경기,시흥아동보호전문기관,아동학대·방임 상담 및 보호 연계,031-316-1391,,
경기,경기평택아동보호전문기관,아동학대·방임 상담 및 보호 연계,031-652-1391,,
경기,수원아동보호전문기관,아동학대·방임 상담 및 보호 연계,031-8009-0080,,
경기,광명시아동보호전문기관,아동학대·방임 상담 및 보호 연계,02-897-1577,,
경기,안양시아동보호전문기관,아동학대·방임 상담 및 보호 연계,031-468-9821,,
경기,구리시아동보호전문기관,아동학대·방임 상담 및 보호 연계,031-523-3163,,
경기,군포시아동보호전문기관,아동학대·방임 상담 및 보호 연계,031-391-1391,,
경기,경기광주아동보호전문기관,아동학대·방임 상담 및 보호 연계,031-8027-0171,,
경기,경기의왕아동보호전문기관,아동학대·방임 상담 및 보호 연계,031-360-1391,,
경기,파주시아동보호전문기관,아동학대·방임 상담 및 보호 연계,031-839-0940,,
경기,화성시아동보호전문기관,아동학대·방임 상담 및 보호 연계,031-227-1310,,
경기,오산시아동보호전문기관,아동학대·방임 상담 및 보호 연계,031-8077-9610,,
경기,김포시아동보호전문기관,아동학대·방임 상담 및 보호 연계,031-8084-3891,,
경기,경기양주아동보호전문기관,아동학대·방임 상담 및 보호 연계,031-856-9001,,
경기,경기남부청소년자립지원관(이용형),자립지원관,031-360-1824,,
경기,경기북부청소년자립지원관(이용형),자립지원관,031-928-1316,,
경기,고양여자중장기청소년쉼터,중장기쉼터,031-976-1366,,
경기,구리시남자중장기청소년쉼터,중장기쉼터,031-568-1318,,
경기,구리시여자단기청소년쉼터,단기쉼터,031-564-7707,,
경기,군포남자중장기청소년쉼터,중장기쉼터,031-399-7997,,
경기,김포시일시청소년쉼터(이동형),일시쉼터,031-980-1605,,
경기,남양주시일시청소년쉼터(고정형),일시쉼터,031-591-1319,,
경기,부천시일시청소년쉼터(고정형),일시쉼터,032-654-1318,,
경기,부천여자단기청소년쉼터,단기쉼터,032-347-1880,,
경기,성남시남자단기청소년쉼터,단기쉼터,031-722-6260,,
경기,성남시남자중장기청소년쉼터,중장기쉼터,031-752-9050,,
경기,성남시여자단기청소년쉼터,단기쉼터,031-758-1213,,
경기,성남시여자중장기청소년쉼터,중장기쉼터,031-758-1720,,
경기,성남시일시청소년쉼터(고정형),일시쉼터,031-758-1388,,
경기,성남시청소년자립지원관(혼합형),자립지원관,031-723-7942,,
경기,수원시남자단기청소년쉼터,단기쉼터,031-216-8353,,
경기,수원시여자단기청소년쉼터,단기쉼터,031-232-7982,,
경기,시흥시남자단기청소년쉼터,단기쉼터,031-314-9072,,
경기,시흥시여자단기청소년쉼터,단기쉼터,031-434-1318,,
경기,안산시남자단기청소년쉼터,단기쉼터,031-481-8232,,
경기,안산시여자단기청소년쉼터,단기쉼터,031-486-0079,,
경기,안양시남자단기청소년쉼터,단기쉼터,031-455-9182,,
경기,안양시여자중장기청소년쉼터,중장기쉼터,031-468-5141,,
경기,용인시남자단기청소년쉼터,단기쉼터,031-276-0770,,
경기,의정부시남자단기청소년쉼터,단기쉼터,031-829-1318,,
경기,의정부시여자단기청소년쉼터,단기쉼터,031-837-1318,,
경기,의정부시일시청소년쉼터(이동형),일시쉼터,031-871-1318,,
경기,이천시여자단기청소년쉼터,단기쉼터,031-8011-3144,,
경기,파주시여자단기청소년쉼터,단기쉼터,031-944-0759,,
경기,평택여자단기청소년쉼터,단기쉼터,031-652-1384,,
경기,하남남자중장기청소년쉼터,중장기쉼터,031-791-1337,,
경기,화성시여자단기청소년쉼터,단기쉼터,031-227-7935,,
강원,강원특별자치도아동보호전문기관,아동학대·방임 상담 및 보호 연계,033-244-1391,,
강원,강원동부아동보호전문기관,아동학대·방임 상담 및 보호 연계,033-644-1391,,
강원,강원서부아동보호전문기관,아동학대·방임 상담 및 보호 연계,033-766-1391,,
강원,강원남부아동보호전문기관,아동학대·방임 상담 및 보호 연계,033-535-5391,,
강원,강원중부아동보호전문기관,아동학대·방임 상담 및 보호 연계,033-344-5391,,
강원,강릉시청소년자립지원관(이용형),자립지원관,033-646-1424,,
강원,강원특별자치도남자단기청소년쉼터,단기쉼터,033-255-1002,,
강원,강원특별자치도남자중장기청소년쉼터 보금자리,중장기쉼터,033-244-5118,,
강원,강원특별자치도여자단기청소년쉼터,단기쉼터,033-255-1004,,
강원,강원특별자치도여자중장기청소년쉼터,중장기쉼터,033-256-7179,,
강원,강원특별자치도일시청소년쉼터(고정형),일시쉼터,033-256-0924,,
강원,강원특별자치도일시청소년쉼터(이동형),일시쉼터,033-255-1005,,
강원,원주시여자단기청소년쉼터,단기쉼터,033-761-7591,,
강원,원주시일시청소년쉼터(고정형),일시쉼터,033-742-0924,,
충북,충청북도아동보호전문기관,아동학대·방임 상담 및 보호 연계,043-216-1391,,
충북,충북북부아동보호전문기관,아동학대·방임 상담 및 보호 연계,043-643-0943,,
충북,충북남부아동보호전문기관,아동학대·방임 상담 및 보호 연계,043-731-3685,,
충북,충북중부아동보호전문기관,아동학대·방임 상담 및 보호 연계,043-535-1391,,
충북,제천여자단기청소년쉼터,단기쉼터,043-643-7946,,
충북,청주시남자단기청소년쉼터,단기쉼터,043-231-2676,,
충북,청주시여자단기청소년쉼터,단기쉼터,043-276-1318,,
충북,청주시일시청소년쉼터(이동형),일시쉼터,010-4654-1388,,
충북,충주시남자단기청소년쉼터,단기쉼터,043-911-3479,,
충북,충주시여자중장기청소년쉼터,중장기쉼터,043-852-0924,,
충북,충주시청소년자립지원관(이용형),자립지원관,070-7833-5768,,
충북,충청북도남자중장기청소년쉼터,중장기쉼터,043-266-2204,,
충남,충청남도동부아동보호전문기관,아동학대·방임 상담 및 보호 연계,041-400-7229,,
충남,충청남도아동보호전문기관,아동학대·방임 상담 및 보호 연계,041-578-2655,,
충남,충청남도남부아동보호전문기관,아동학대·방임 상담 및 보호 연계,041-734-6640,,
충남,충청남도서부아동보호전문기관,아동학대·방임 상담 및 보호 연계,041-635-1106,,
충남,충청남도중부아동보호전문기관,아동학대·방임 상담 및 보호 연계,041-546-1391,,
충남,공주시남자중장기청소년쉼터,중장기쉼터,041-853-1337,,
충남,공주시여자중장기청소년쉼터,중장기쉼터,041-853-4486,,
충남,논산여자단기청소년쉼터,단기쉼터,041-735-1075,,
충남,당진시여자단기청소년쉼터,단기쉼터,041-352-8701,,
충남,아산시남자단기청소년쉼터,단기쉼터,041-548-1326,,
충남,아산시여자단기청소년쉼터,단기쉼터,041-534-1388,,
충남,천안남자단기청소년쉼터,단기쉼터,041-578-1388,,
충남,천안여자단기청소년쉼터,단기쉼터,041-576-1316,,
충남,천안청소년자립지원관(혼합형),자립지원관,041-578-1380,,
충남,홍성남자단기청소년쉼터,단기쉼터,041-634-6564,,
충남,홍성여자단기청소년쉼터,단기쉼터,041-631-6560,,
전북,정읍시아동보호전문기관,아동학대·방임 상담 및 보호 연계,063-700-7121,,
전북,전북특별자치도아동보호전문기관,아동학대·방임 상담 및 보호 연계,063-283-1391,,
전북,전북익산시아동보호전문기관,아동학대·방임 상담 및 보호 연계,063-852-1391,,
전북,전라북도군산시아동보호전문기관,아동학대·방임 상담 및 보호 연계,063-734-1391,,
전북,전북동부아동보호전문기관,아동학대·방임 상담 및 보호 연계,063-635-1391,,
전북,전주덕진아동보호전문기관,아동학대·방임 상담 및 보호 연계,063-715-1371,,
전북,전주완산아동보호전문기관,아동학대·방임 상담 및 보호 연계,063-717-1372,,
전북,군산남자단기청소년쉼터,단기쉼터,063-471-1091,,
전북,군산여자중장기청소년쉼터,중장기쉼터,063-451-1091,,
전북,익산일시청소년쉼터,일시쉼터,063-857-1091,,
전북,전주남자단기청소년쉼터,단기쉼터,063-251-3530,,
전북,전주남자중장기청소년쉼터,중장기쉼터,063-244-1774,,
전북,전주여자단기청소년쉼터,단기쉼터,063-903-1091,,
전남,전남남부권아동보호전문기관,아동학대·방임 상담 및 보호 연계,061-880-7391,,
전남,전라남도아동보호전문기관,아동학대·방임 상담 및 보호 연계,061-753-5125,,
전남,전남서부권아동보호전문기관,아동학대·방임 상담 및 보호 연계,061-285-1391,,
전남,전남중부권아동보호전문기관,아동학대·방임 상담 및 보호 연계,061-332-1391,,
전남,전남북부권아동보호전문기관,아동학대·방임 상담 및 보호 연계,061-870-7200,,
전남,목포시남자단기청소년쉼터,단기쉼터,061-278-1388,,
전남,목포시남자중장기청소년쉼터,중장기쉼터,061-287-1388,,
전남,여수남자단기청소년쉼터,단기쉼터,061-644-0918,,
전남,여수여자단기청소년쉼터,단기쉼터,061-661-0924,,
경북,경북남부아동보호전문기관,아동학대·방임 상담 및 보호 연계,054-745-1391,,
경북,경북북부아동보호전문기관,아동학대·방임 상담 및 보호 연계,054-853-1391,,
경북,경북동부아동보호전문기관,아동학대·방임 상담 및 보호 연계,054-284-1391,,
경북,경북서부아동보호전문기관,아동학대·방임 상담 및 보호 연계,054-455-1391,,
경북,경상북도여자중장기청소년쉼터,중장기쉼터,054-857-6137,,
경북,경주시여자단기청소년쉼터,단기쉼터,054-748-1388,,
경북,구미시여자단기청소년쉼터,단기쉼터,054-444-1388,,
경북,포항시남자중장기청소년쉼터,중장기쉼터,054-284-1388,,
경북,포항시여자중장기청소년쉼터,중장기쉼터,054-244-1318,,
경북,포항여자단기청소년쉼터,단기쉼터,054-246-1004,,
경남,통영시아동보호전문기관,아동학대·방임 상담 및 보호 연계,055-725-7391,,
경남,거제시아동보호전문기관,아동학대·방임 상담 및 보호 연계,055-736-1391,,
경남,경상남도아동보호전문기관,아동학대·방임 상담 및 보호 연계,055-244-1391,,
경남,경남서부아동보호전문기관,아동학대·방임 상담 및 보호 연계,055-786-7391,,
경남,김해시아동보호전문기관,아동학대·방임 상담 및 보호 연계,055-322-1391,,
경남,창원시아동보호전문기관,아동학대·방임 상담 및 보호 연계,055-713-1390,,
경남,양산시아동보호전문기관,아동학대·방임 상담 및 보호 연계,055-367-1391,,
경남,진주시아동보호전문기관,아동학대·방임 상담 및 보호 연계,055-762-1391,,
경남,경상남도남자중장기청소년쉼터,중장기쉼터,055-274-0924,,
경남,경상남도여자중장기청소년쉼터,중장기쉼터,055-745-1316,,
경남,경상남도일시청소년쉼터(고정형),일시쉼터,055-285-7361,,
경남,김해시여자단기청소년쉼터,단기쉼터,055-332-1318,,
경남,창원시남자단기청소년쉼터,단기쉼터,055-237-1318,,
경남,창원시여자단기청소년쉼터,단기쉼터,055-295-1318,,
제주,제주특별자치도아동보호전문기관,아동학대·방임 상담 및 보호 연계,064-712-1391,,
제주,서귀포시아동보호전문기관,아동학대·방임 상담 및 보호 연계,064-732-1391,,
제주,서귀포시남자단기청소년쉼터,단기쉼터,064-739-9805,,
제주,서귀포시여자중장기청소년쉼터,중장기쉼터,064-733-1376,,
제주,제주시남자중장기청소년쉼터,중장기쉼터,064-759-1388,,
제주,제주시여자단기청소년쉼터,단기쉼터,064-751-1388,,
제주,제주시일시청소년쉼터(이동형),일시쉼터,064-723-0179,,
제주,제주특별자치도일시청소년쉼터(고정형),일시쉼터,064-722-1388,,
제주,제주특별자치도청소년자립지원관(이용형),자립지원관,064-721-1824,,
