지역,기관명,역할,연락처,,"<사용자가 지역 입력하면, 전국/중앙 기관 정보 + 지역별 정보 노출>"
대구,대구광역시일시청소년쉼터(고정형),일시쉼터,053-764-1388,,
대구,대구광역시일시청소년쉼터(이동형),일시쉼터,053-754-1388,,
대구,대구광역시청소년자립지원관(이용형),자립지원관,053-657-1924,,
인천,인천광역시 학교밖청소년지원센터 꿈드림,상담·학업·진학·직업·자립 지원,032-721-2330,,
인천,인천시남자단기청소년쉼터(바다의별),단기쉼터,032-438-1318,,
인천,인천시남자단기청소년쉼터(우리들),단기쉼터,032-442-1388,,
인천,인천시여자단기청소년쉼터(하늘목장),단기쉼터,032-528-2216,,
인천,인천시여자단기청소년쉼터(하모니),단기쉼터,032-468-1318,,
인천,인천시여자중장기청소년쉼터(예꿈),중장기쉼터,032-465-1393,,
인천,"인천시일시청소년쉼터(고정형,꿈꾸는별)",일시쉼터,032-817-1318,,
인천,"인천시일시청소년쉼터(고정형,한울타리)",일시쉼터,032-516-1318,,
인천,인천시일시청소년쉼터(이동형),일시쉼터,032-513-1388,,
인천,인천시청소년자립지원관(별바라기),자립지원관,032-875-1319,,
인천,인천시청소년자립지원관(행복자리),자립지원관,032-467-1398,,
광주,광주광역시 학교밖청소년지원센터 꿈드림,상담·검정고시·대학진학·직업·건강 지원,062-376-1324,,
광주,광주광역시남자단기청소년쉼터,단기쉼터,062-227-1388,,
광주,광주광역시남자중장기청소년쉼터,중장기쉼터,062-714-1388,,
광주,광주광역시여자단기청소년쉼터,단기쉼터,062-525-1318,,
광주,광주광역시여자중장기청소년쉼터,중장기쉼터,062-366-1318,,
광주,광주광역시일시청소년쉼터(이동형),일시쉼터,062-527-1318,,
대전,대전광역시 학교밖청소년지원센터 꿈드림,상담·교육·진로·직업·건강 지원,042-222-1388,,
대전,"대전광역시일시청소년쉼터(고정형, 드롭인센터)",일시쉼터,042-673-1092,,
대전,대전광역시일시청소년쉼터(이동형),일시쉼터,042-221-1092,,
대전,대전시남자단기청소년쉼터,단기쉼터,042-223-7179,,
대전,대전시남자중장기청소년쉼터,중장기쉼터,042-528-7179,,
대전,대전여자단기청소년쉼터,단기쉼터,042-256-7942,,
대전,대전여자중장기청소년쉼터,중장기쉼터,042-534-0179,,
대전,대전청소년자립지원관(이용형),자립지원관,042-482-1924,,
울산,울산광역시 학교밖청소년지원센터 꿈드림,상담·검정고시·진로·직업·자립 지원,052-227-2000,,
울산,울산광역시남자단기청소년쉼터,단기쉼터,052-261-1388,,
울산,울산광역시일시청소년쉼터,일시쉼터,052-245-1388,,
울산,울산남구여자단기청소년쉼터,단기쉼터,052-269-1388,,
울산,울산남구여자중장기청소년쉼터,중장기쉼터,052-265-1388,,
울산,울산울주군남자중장기청소년쉼터,중장기쉼터,052-223-5186,,
경기,경기도 청소년지원센터 꿈드림,상담·검정고시·진학·직업훈련·자립 지원,031-253-1519,,
경기,경기남부청소년자립지원관(이용형),자립지원관,031-360-1824,,
경기,경기북부청소년자립지원관(이용형),자립지원관,031-928-1316,,
경기,고양여자중장기청소년쉼터,중장기쉼터,031-976-1366,,
경기,구리시남자중장기청소년쉼터,중장기쉼터,031-568-1318,,
경기,구리시여자단기청소년쉼터,단기쉼터,031-564-7707,,
경기,군포남자중장기청소년쉼터,중장기쉼터,031-399-7997,,
경기,김포시일시청소년쉼터(이동형),일시쉼터,031-980-1605,,
경기,남양주시일시청소년쉼터(고정형),일시쉼터,031-591-1319,,
경기,부천시일시청소년쉼터(고정형),일시쉼터,032-654-1318,,
경기,부천여자단기청소년쉼터,단기쉼터,032-347-1880,,
경기,성남시남자단기청소년쉼터,단기쉼터,031-722-6260,,
경기,성남시남자중장기청소년쉼터,중장기쉼터,031-752-9050,,
경기,성남시여자단기청소년쉼터,단기쉼터,031-758-1213,,
경기,성남시여자중장기청소년쉼터,중장기쉼터,031-758-1720,,
경기,성남시일시청소년쉼터(고정형),일시쉼터,031-758-1388,,
경기,성남시청소년자립지원관(혼합형),자립지원관,031-723-7942,,
경기,수원시남자단기청소년쉼터,단기쉼터,031-216-8353,,
경기,수원시여자단기청소년쉼터,단기쉼터,031-232-7982,,
경기,시흥시남자단기청소년쉼터,단기쉼터,031-314-9072,,
경기,시흥시여자단기청소년쉼터,단기쉼터,031-434-1318,,
경기,안산시남자단기청소년쉼터,단기쉼터,031-481-8232,,
경기,안산시여자단기청소년쉼터,단기쉼터,031-486-0079,,
경기,안양시남자단기청소년쉼터,단기쉼터,031-455-9182,,
경기,안양시여자중장기청소년쉼터,중장기쉼터,031-468-5141,,
경기,용인시남자단기청소년쉼터,단기쉼터,031-276-0770,,
경기,의정부시남자단기청소년쉼터,단기쉼터,031-829-1318,,
경기,의정부시여자단기청소년쉼터,단기쉼터,031-837-1318,,
경기,의정부시일시청소년쉼터(이동형),일시쉼터,031-871-1318,,
경기,이천시여자단기청소년쉼터,단기쉼터,031-8011-3144,,
경기,파주시여자단기청소년쉼터,단기쉼터,031-944-0759,,
경기,평택여자단기청소년쉼터,단기쉼터,031-652-1384,,
경기,하남남자중장기청소년쉼터,중장기쉼터,031-791-1337,,
경기,화성시여자단기청소년쉼터,단기쉼터,031-227-7935,,
강원,강원특별자치도 학교밖청소년지원센터 꿈드림,상담·학업·진학·직업·자립·건강 지원,033-257-9805,,
강원,강릉시청소년자립지원관(이용형),자립지원관,033-646-1424,,
강원,강원특별자치도남자단기청소년쉼터,단기쉼터,033-255-1002,,
강원,강원특별자치도남자중장기청소년쉼터 보금자리,중장기쉼터,033-244-5118,,
강원,강원특별자치도여자단기청소년쉼터,단기쉼터,033-255-1004,,
강원,강원특별자치도여자중장기청소년쉼터,중장기쉼터,033-256-7179,,
강원,강원특별자치도일시청소년쉼터(고정형),일시쉼터,033-256-0924,,
강원,강원특별자치도일시청소년쉼터(이동형),일시쉼터,033-255-1005,,
강원,원주시여자단기청소년쉼터,단기쉼터,033-761-7591,,
강원,원주시일시청소년쉼터(고정형),일시쉼터,033-742-0924,,
충북,충청북도 청소년지원센터 꿈드림,상담·검정고시·진학·직업·취업·건강 지원,043-257-0105,,
충북,제천여자단기청소년쉼터,단기쉼터,043-643-7946,,
충북,청주시남자단기청소년쉼터,단기쉼터,043-231-2676,,
충북,청주시여자단기청소년쉼터,단기쉼터,043-276-1318,,
충북,청주시일시청소년쉼터(이동형),일시쉼터,010-4654-1388,,
충북,충주시남자단기청소년쉼터,단기쉼터,043-911-3479,,
충북,충주시여자중장기청소년쉼터,중장기쉼터,043-852-0924,,
충북,충주시청소년자립지원관(이용형),자립지원관,070-7833-5768,,
충북,충청북도남자중장기청소년쉼터,중장기쉼터,043-266-2204,,
충남,충청남도 학교밖청소년지원센터 꿈드림,상담·교육·진로·자립·권리·참여 지원,041-554-1380,,
충남,공주시남자중장기청소년쉼터,중장기쉼터,041-853-1337,,
충남,공주시여자중장기청소년쉼터,중장기쉼터,041-853-4486,,
충남,논산여자단기청소년쉼터,단기쉼터,041-735-1075,,
충남,당진시여자단기청소년쉼터,단기쉼터,041-352-8701,,
충남,아산시남자단기청소년쉼터,단기쉼터,041-548-1326,,
충남,아산시여자단기청소년쉼터,단기쉼터,041-534-1388,,
충남,천안남자단기청소년쉼터,단기쉼터,041-578-1388,,
충남,천안여자단기청소년쉼터,단기쉼터,041-576-1316,,
충남,천안청소년자립지원관(혼합형),자립지원관,041-578-1380,,
충남,홍성남자단기청소년쉼터,단기쉼터,041-634-6564,,
충남,홍성여자단기청소년쉼터,단기쉼터,041-631-6560,,
전북,전북특별자치도 학교밖청소년지원센터 꿈드림,상담·학업·진학·진로·자립 지원,063-273-1388,,
전북,군산남자단기청소년쉼터,단기쉼터,063-471-1091,,
전북,군산여자중장기청소년쉼터,중장기쉼터,063-451-1091,,
전북,익산일시청소년쉼터,일시쉼터,063-857-1091,,
전북,전주남자단기청소년쉼터,단기쉼터,063-251-3530,,
전북,전주남자중장기청소년쉼터,중장기쉼터,063-244-1774,,
전북,전주여자단기청소년쉼터,단기쉼터,063-903-1091,,
전남,전라남도 학교밖청소년지원센터 꿈드림,교육·진로·직업·건강·자립 지원,061-242-7474,,
전남,목포시남자단기청소년쉼터,단기쉼터,061-278-1388,,
전남,목포시남자중장기청소년쉼터,중장기쉼터,061-287-1388,,
전남,여수남자단기청소년쉼터,단기쉼터,061-644-0918,,
전남,여수여자단기청소년쉼터,단기쉼터,061-661-0924,,
경북,경상북도 학교밖청소년지원센터 꿈드림,상담·검정고시·진학·직업·자립 지원,054-850-1003,,
경북,경상북도여자중장기청소년쉼터,중장기쉼터,054-857-6137,,
경북,경주시여자단기청소년쉼터,단기쉼터,054-748-1388,,
경북,구미시여자단기청소년쉼터,단기쉼터,054-444-1388,,
경북,포항시남자중장기청소년쉼터,중장기쉼터,054-284-1388,,
경북,포항시여자중장기청소년쉼터,중장기쉼터,054-244-1318,,
경북,포항여자단기청소년쉼터,단기쉼터,054-246-1004,,
경남,경상남도 학교밖청소년지원센터 꿈드림,상담·교육·직업·취업·자립 지원,055-711-1336,,
경남,경상남도남자중장기청소년쉼터,중장기쉼터,055-274-0924,,
경남,경상남도여자중장기청소년쉼터,중장기쉼터,055-745-1316,,
경남,경상남도일시청소년쉼터(고정형),일시쉼터,055-285-7361,,
경남,김해시여자단기청소년쉼터,단기쉼터,055-332-1318,,
경남,창원시남자단기청소년쉼터,단기쉼터,055-237-1318,,
경남,창원시여자단기청소년쉼터,단기쉼터,055-295-1318,,
제주,제주특별자치도 학교밖청소년지원센터 꿈드림,상담·학업·진학·진로·자립·건강 지원,064-759-9982,,
제주,서귀포시남자단기청소년쉼터,단기쉼터,064-739-9805,,
제주,서귀포시여자중장기청소년쉼터,중장기쉼터,064-733-1376,,
제주,제주시남자중장기청소년쉼터,중장기쉼터,064-759-1388,,
제주,제주시여자단기청소년쉼터,단기쉼터,064-751-1388,,
제주,제주시일시청소년쉼터(이동형),일시쉼터,064-723-0179,,
제주,제주특별자치도일시청소년쉼터(고정형),일시쉼터,064-722-1388,,
제주,제주특별자치도청소년자립지원관(이용형),자립지원관,064-721-1824,,
